plant_id,site_code,hor_pos,depth_treatment,tile_id,plant_no,binomial_code,trait_tdmc,trait_thickness,trait_STA,trait_SBA,trait_SAP,trait_float,dry_weight_g_daily_change
VCE6,V,C,-5,VCE,6,fu_sp,0.39220588235294124,0.315,3362.823397075365,3837.688442211055,26.330600058129804,0,0.3023042813052993
VCE9,V,C,-5,VCE,9,fu_sp,0.34675213675213673,0.33333333333333337,3537.663298003451,4851.492537313433,17.860004977600795,0,-0.2561363434743189
VCE7,V,C,-5,VCE,7,fu_sp,0.3346601941747573,0.3433333333333333,3075.1378009863647,4311.2231182795695,17.381807806399458,0,-0.10719933665296733
VCE4,V,C,-5,VCE,4,fu_sp,0.32084905660377355,0.32,4237.503675389592,4662.748971193416,31.25487959332385,0,0.42199810615002814
VCE3,V,C,-5,VCE,3,fu_sp,0.3749514563106796,0.3566666666666667,3118.1512169860175,3648.1631277384563,21.81145389769049,0,0.17292568462489327
VCE2,V,C,-5,VCE,2,fu_sp,0.3626086956521739,0.2966666666666667,4066.037170263789,4698.383573612931,22.888736270689936,0,-0.15148637809862842
VCE1,V,C,-5,VCE,1,fu_sp,0.37909090909090915,0.355,3184.069886947584,NA,18.447586647665247,0,0.06396865579874816
VCF9,V,C,-12,VCF,9,fu_se,0.30263157894736853,0.27666666666666667,4595.478260869564,NA,39.00681999350477,0,-1.6134536255596983
VCF8,V,C,-12,VCF,8,fu_se,NA,NA,NA,NA,NA,0,NA
VCF7,V,C,-12,VCF,7,fu_se,NA,NA,NA,NA,NA,0,NA
VCF6,V,C,-12,VCF,6,fu_se,0.3039726027397261,0.5433333333333333,4078.3235691753043,4072.2085587801266,43.523929071260596,0,-0.9862194369108573
VCF5,V,C,-12,VCF,5,fu_se,0.25341463414634147,0.4533333333333333,4516.073147256978,6840.09433962264,28.813371978777752,0,-1.4315365300598581
VCF4,V,C,-12,VCF,4,fu_se,NA,NA,NA,NA,NA,0,NA
VCF3,V,C,-12,VCF,3,fu_se,0.28318181818181815,0.31,4551.926163723916,5163.392857142859,37.1301194092385,0,-1.347711588615573
VCF2,V,C,-12,VCF,2,fu_se,0.31088050314465404,0.43333333333333335,4198.159012745296,4356.8736141906875,44.68011351158154,0,-0.37250122123398044
VCF1,V,C,-12,VCF,1,fu_se,0.20926470588235296,0.455,3959.100491918482,4710.71752951862,41.13373684863796,0,-1.2327507867934295
VCG9,V,C,-28,VCG,9,fu_sp,NA,NA,NA,NA,NA,0,NA
VCG8,V,C,-28,VCG,8,fu_sp,0.3028735632183908,0.2916666666666667,3589.2599620493365,4335.054174633526,25.560315122359906,0,-0.791400222563
VCG7,V,C,-28,VCG,7,fu_sp,NA,NA,NA,NA,NA,0,NA
VCG6,V,C,-28,VCG,6,fu_sp,NA,NA,NA,NA,NA,0,NA
VCG5,V,C,-28,VCG,5,fu_sp,0.3620987654320987,NA,3390.521650187522,3736.9565217391314,27.850391385322,0,0.5701529458631237
VCG4,V,C,-28,VCG,4,fu_sp,0.33653846153846156,0.33,3656.9142857142856,4076.7918088737206,25.720348746858438,0,0.14461178632770813
